event-id,visible,timestamp,location-long,location-lat,gps:fix-type,gps:fix-type-raw,gps:hdop,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29538063103,true,2017-05-10 00:00:00.000,-92.772104,57.903385,2,"Resolved QFP",1.1,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063104,true,2017-05-10 02:00:00.000,-92.772006,57.903328,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063105,true,2017-05-10 04:00:00.000,-92.771983,57.90333,2,"Resolved QFP",5.3,6,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063106,true,2017-05-10 06:00:00.000,-92.771996,57.903303,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063107,true,2017-05-10 08:00:00.000,-92.771981,57.903367,2,"Resolved QFP",1.2,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063108,true,2017-05-10 10:00:00.000,-92.771964,57.903352,2,"Resolved QFP",1.6,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063109,true,2017-05-10 12:00:00.000,-92.771935,57.902739,2,"Resolved QFP",1.1,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063110,true,2017-05-10 14:00:00.000,-92.771911,57.902756,2,"Resolved QFP",1.0,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063111,true,2017-05-10 16:00:00.000,-92.785054,57.904588,2,"Resolved QFP",1.6,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063112,true,2017-05-10 18:00:00.000,-92.784967,57.904593,2,"Resolved QFP",0.9,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063113,true,2017-05-10 20:00:00.000,-92.790662,57.900833,2,"Resolved QFP",0.9,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063114,true,2017-05-10 22:00:00.000,-92.801669,57.929174,2,"Resolved QFP",1.1,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063115,true,2017-05-11 02:00:00.000,-92.807044,57.935176,2,"Resolved QFP",10.7,5,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063116,true,2017-05-11 10:00:00.000,-92.806913,57.934963,2,"Resolved QFP",14.4,5,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063117,true,2017-05-15 18:00:00.000,-92.795267,57.920455,2,"Resolved QFP",0.8,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063118,true,2017-05-16 18:00:00.000,-92.809867,57.935522,2,"Resolved QFP",0.7,12,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063119,true,2017-05-19 02:00:00.000,-92.791415,57.942366,2,"Resolved QFP",0.8,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063120,true,2017-05-19 04:00:00.000,-92.78119,57.860601,2,"Resolved QFP",1.1,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063121,true,2017-05-19 06:00:00.000,-92.819408,57.877593,2,"Resolved QFP",1.4,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063122,true,2017-05-19 08:00:00.000,-92.805149,57.889041,2,"Resolved QFP",1.0,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063123,true,2017-05-19 10:00:00.000,-92.80783,57.934111,2,"Resolved QFP",0.8,12,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063124,true,2017-05-19 12:00:00.000,-92.808036,57.936707,2,"Resolved QFP",1.9,7,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063125,true,2017-05-19 14:00:00.000,-92.801617,57.932196,2,"Resolved QFP",1.3,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063126,true,2017-05-19 16:00:00.000,-92.784881,57.910661,2,"Resolved QFP",0.9,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063127,true,2017-05-19 18:00:00.000,-92.793869,57.928856,2,"Resolved QFP",1.1,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063128,true,2017-05-20 00:00:00.000,-92.821745,57.933356,2,"Resolved QFP",1.4,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063129,true,2017-05-20 04:00:00.000,-92.78332,57.911733,2,"Resolved QFP",1.3,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063130,true,2017-05-20 06:00:00.000,-92.758257,57.865143,2,"Resolved QFP",1.3,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063131,true,2017-05-20 08:00:00.000,-92.790268,57.874483,2,"Resolved QFP",0.7,12,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063132,true,2017-05-20 10:00:00.000,-92.794078,57.883009,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063133,true,2017-05-20 12:00:00.000,-92.786342,57.888332,2,"Resolved QFP",1.3,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063134,true,2017-05-20 14:00:00.000,-92.787822,57.893853,2,"Resolved QFP",0.9,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063135,true,2017-05-20 18:00:00.000,-92.776081,57.911845,2,"Resolved QFP",1.1,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063136,true,2017-05-20 20:00:00.000,-92.78011,57.918914,2,"Resolved QFP",1.0,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063137,true,2017-05-21 04:00:00.000,-92.781291,57.928424,2,"Resolved QFP",1.5,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063138,true,2017-05-21 06:00:00.000,-92.758713,57.871952,2,"Resolved QFP",1.4,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063139,true,2017-05-21 08:00:00.000,-92.755302,57.856125,2,"Resolved QFP",0.8,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063140,true,2017-05-21 10:00:00.000,-92.765612,57.867302,2,"Resolved QFP",1.2,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063141,true,2017-05-21 12:00:00.000,-92.785201,57.861854,2,"Resolved QFP",0.9,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063142,true,2017-05-21 14:00:00.000,-92.787886,57.860363,2,"Resolved QFP",0.9,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063143,true,2017-05-21 16:00:00.000,-92.787869,57.860307,2,"Resolved QFP",1.2,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063144,true,2017-05-21 18:00:00.000,-92.785257,57.859567,2,"Resolved QFP",1.1,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063145,true,2017-05-21 20:00:00.000,-92.779388,57.858282,2,"Resolved QFP",1.0,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063146,true,2017-05-21 22:00:00.000,-92.779286,57.858301,2,"Resolved QFP",2.3,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063147,true,2017-05-22 00:00:00.000,-92.779569,57.858145,2,"Resolved QFP",1.7,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063148,true,2017-05-22 02:00:00.000,-92.779348,57.858303,2,"Resolved QFP",1.0,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063149,true,2017-05-22 04:00:00.000,-92.756721,57.863137,2,"Resolved QFP",1.0,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063150,true,2017-05-22 06:00:00.000,-92.771528,57.895517,2,"Resolved QFP",0.8,12,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063151,true,2017-05-22 08:00:00.000,-92.789556,57.949921,2,"Resolved QFP",0.8,12,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063152,true,2017-05-22 10:00:00.000,-92.806863,57.932196,2,"Resolved QFP",0.8,12,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063153,true,2017-05-22 12:00:00.000,-92.796995,57.923064,2,"Resolved QFP",1.4,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063154,true,2017-05-22 14:00:00.000,-92.796979,57.923088,2,"Resolved QFP",0.9,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063155,true,2017-05-22 16:00:00.000,-92.797048,57.923126,2,"Resolved QFP",1.1,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063156,true,2017-05-22 18:00:00.000,-92.796995,57.923234,2,"Resolved QFP",2.3,7,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063157,true,2017-05-22 20:00:00.000,-92.784387,57.936248,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063158,true,2017-05-22 22:00:00.000,-92.80724,57.934938,2,"Resolved QFP",1.0,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063159,true,2017-05-23 00:00:00.000,-92.807269,57.934827,2,"Resolved QFP",1.0,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063160,true,2017-05-23 02:00:00.000,-92.807327,57.934884,2,"Resolved QFP",1.0,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063161,true,2017-05-23 04:00:00.000,-92.808059,57.944815,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063162,true,2017-05-23 06:00:00.000,-92.810111,57.942717,2,"Resolved QFP",1.0,12,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063163,true,2017-05-23 08:00:00.000,-92.806447,57.918276,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063164,true,2017-05-23 10:00:00.000,-92.80886,57.91315,2,"Resolved QFP",0.8,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063165,true,2017-05-23 12:00:00.000,-92.808855,57.913189,2,"Resolved QFP",1.1,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063166,true,2017-05-23 14:00:00.000,-92.808792,57.913152,2,"Resolved QFP",0.8,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063167,true,2017-05-23 16:00:00.000,-92.808864,57.913142,2,"Resolved QFP",1.6,7,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063168,true,2017-05-23 18:00:00.000,-92.808749,57.91315,2,"Resolved QFP",1.0,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063169,true,2017-05-23 20:00:00.000,-92.808865,57.913142,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063170,true,2017-05-23 22:00:00.000,-92.808711,57.913169,2,"Resolved QFP",1.4,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063171,true,2017-05-24 00:00:00.000,-92.808914,57.913079,2,"Resolved QFP",1.5,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063172,true,2017-05-24 02:00:00.000,-92.808837,57.91316,2,"Resolved QFP",1.6,7,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063173,true,2017-05-24 04:00:00.000,-92.801346,57.922184,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063174,true,2017-05-24 06:00:00.000,-92.807297,57.9349,2,"Resolved QFP",1.1,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063175,true,2017-05-24 08:00:00.000,-92.806035,57.940839,2,"Resolved QFP",0.9,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063176,true,2017-05-24 10:00:00.000,-92.807315,57.934899,2,"Resolved QFP",1.0,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063177,true,2017-05-24 12:00:00.000,-92.807351,57.934888,2,"Resolved QFP",0.9,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063178,true,2017-05-24 14:00:00.000,-92.80727,57.934923,2,"Resolved QFP",1.5,7,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063179,true,2017-05-25 04:00:00.000,-92.804721,57.941555,2,"Resolved QFP",0.9,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063180,true,2017-05-25 06:00:00.000,-92.813116,57.953237,2,"Resolved QFP",0.9,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063181,true,2017-05-25 08:00:00.000,-92.808504,57.946012,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063182,true,2017-05-25 10:00:00.000,-92.807357,57.934879,2,"Resolved QFP",0.8,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063183,true,2017-05-25 12:00:00.000,-92.807351,57.934893,2,"Resolved QFP",0.8,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063184,true,2017-05-25 14:00:00.000,-92.807321,57.93494,2,"Resolved QFP",1.2,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063185,true,2017-05-25 22:00:00.000,-92.807283,57.934923,2,"Resolved QFP",1.2,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063186,true,2017-05-26 00:00:00.000,-92.807382,57.934866,2,"Resolved QFP",1.7,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063187,true,2017-05-26 02:00:00.000,-92.807303,57.934915,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063188,true,2017-05-26 04:00:00.000,-92.801554,57.931338,2,"Resolved QFP",0.8,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063189,true,2017-05-26 06:00:00.000,-92.807248,57.934935,2,"Resolved QFP",1.3,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063190,true,2017-05-26 08:00:00.000,-92.787045,57.927183,2,"Resolved QFP",1.0,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063191,true,2017-05-26 18:00:00.000,-92.807363,57.934767,2,"Resolved QFP",1.1,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063192,true,2017-05-27 04:00:00.000,-92.815856,57.946329,2,"Resolved QFP",0.8,11,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063193,true,2017-05-27 06:00:00.000,-92.812198,57.951957,2,"Resolved QFP",1.9,9,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063194,true,2017-05-27 08:00:00.000,-92.800637,57.933762,2,"Resolved QFP",0.9,10,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063195,true,2017-05-27 22:00:00.000,-92.807178,57.934415,2,"Resolved QFP",4.8,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
29538063196,true,2017-05-28 00:00:00.000,-92.807311,57.934885,2,"Resolved QFP",1.2,8,"gps","Vulpes vulpes","F695853","AB","Arctic and red fox coexistence at the edge of Arctic"
